File,FAQ_Number,Question,Answer,AskAngela Response
Rewards & Recognition Policy - Tech.txt,5,What attributes are rewarded under this policy?,"The policy rewards individual performance/productivity, values-driven behavior with business impact, innovation, business excellence, leadership, teamwork, and service duration.","The attributes rewarded under this policy include:

- Individual Performance / Productivity
- Values driven behavior while driving business impact
- Innovation and Business excellence
- Leadership
- Teamwork and collaboration
- Service Duration / Tenure"
Rewards & Recognition Policy - Tech.txt,6,What are the different award categories and their frequency?,"There are monthly awards ('Tech Titans' for individuals and 'League of Extraordinary Angelites' for teams), and annual awards ('CMD Award' and 'CEO Award' for individuals).  Service awards are also given for various tenures.","The policies outline several award categories with different frequencies:

*Individual Awards* are presented:
- *Monthly*:
    - Angel One's Extraordinaire
    - Tech Titans
- *Quarterly*:
    - League of Pathpavers
    - League of Future Makers
- *Annual*:
    - CMD Award
    - CEO Award

*Team Awards* are presented:
- *Quarterly*:
    - Honorary Team of Angelites

*Service Awards* are recognized based on tenure:
- First Angelversary Celebration (1 year)
- Second Angelversary Celebration (2 years)
- Silver Angelversary Honour (3 years)
- Golden Angelversary Honour (5 years)
- Platinum Angelversary Honour (10 years)"
Rewards & Recognition Policy - Tech.txt,7,What rewards are offered for each award category?,"Rewards primarily consist of experience points in 'angelverse' (1 point = 1 Rs), redeemable for goods, services, or experience coupons.  Annual awards include invitations to the ASM Award Ceremony. Service awards may be virtual or physical.","The policies outline several rewards for different award categories and for nominations:

-   For *League of Pathpavers* and *League of Future Makers*, the reward is an Invitation to the ASM Award Ceremony.
-   *Honorary Team of Angelites* and *Service Awards* offer Virtual/Physical Recognition.
-   Employees who are nominated for any award category will earn ""Experience points"" in their angelverse account (1 point = 1 Rs.). These points can be used to purchase experience coupons, or redeemed for goods and services on any e-commerce site or in Angelverse. It is important to note that points cannot be encashed or transferred, but can be used in parts and are valid until the employee's last day.

The policies do not specify rewards for the *Annual Awards*, *Tech Titans*, *CMD Award*, *CEO Award*, or *Angel One's Extraordinaire*, beyond the general ""Experience points"" for nominations."
Rewards & Recognition Policy - Tech.txt,8,How can I nominate someone for an award?,"To nominate an individual or team, send an offline request to your HRBP. The HRBP will then nominate the employee/team through Angelverse, following the established approval process.","To nominate someone for an award, an employee who wishes to nominate a specific individual or team within their department should send an *offline request* to the HRBP. The HRBP will then nominate that employee on Angelverse."
Rewards & Recognition Policy - Tech.txt,9,What is the approval flow for award nominations?,"Nominations go through three levels: 1st level nomination by two levels below CXOs, 2nd level review and potential addition by one level below CXOs, and final approval by the HRBP/Function SPOC in agreement with the CXO, considering the departmental budget.","The approval flow for award nominations involves several levels:

- *1st Level Nomination*: Provided by individuals 2 levels down from the CXO's on Angelverse, after gathering nominations from respective functions.
- *2nd Level Approval*: A reviewer/nominator, 1 level down from the CXO, reviews the list of nominations, can add nominations, and processes them further into the Angelverse.
- *Final Approval*: The HRBP / Function Spoc, in agreement with the CXO, approves the final rewardee list based on the allocated budget.

Both CXO and HRBP have the authority to approve or reject nominations as needed."
Rewards & Recognition Policy - Tech.txt,10,What are the timelines for monthly and quarterly award nominations?,"The nomination process for monthly and quarterly awards is rolled out at the end of each month/quarter, with winners announced accordingly.",The nomination process for Monthly and Quarterly awards will be rolled out by the end of each month or quarter. Winners will be announced accordingly.
Rewards & Recognition Policy - Tech.txt,11,Can departments exceed their pre-assigned budget?,"No, departments cannot exceed their pre-assigned budget.",The policies do not mention specific information about departments exceeding their pre-assigned budget. I'm unable to provide details on this particular question.
Rewards & Recognition Policy - Tech.txt,12,What happens to the experience points if I leave Angel One?,Experience points are valid until your last day of employment at Angel One.,The policies do not mention specific information about experience points if you leave Angel One. I'm unable to provide details on this particular question.
Rewards & Recognition Policy - Tech.txt,13,Can I cash out or transfer my experience points?,"No, experience points cannot be cashed out or transferred.","No, your *experience points* cannot be encashed or transferred."
Rewards & Recognition Policy - Tech.txt,14,Are there any tax implications for the rewards received?,"Yes, gift vouchers or reward points exceeding Rs. 5000 in total value are taxable under the I.T. Act, 1961.","Yes, there are tax implications for rewards received.

- *Gift Vouchers* or *Reward points* (equivalent to rupees) are taxable under the *I.T. Act, 1961 Clause (iv) of sub-rule (7)*, if their total value exceeds Rs. 5000.
- The value of *shares* received as gain by an employee will be added as part of salary and taxed at applicable tax rates. This is considered a *perquisite tax* and is mandated by the Government of India under the *Income Tax Act*."
Rewards & Recognition Policy - Tech.txt,15,What happens if I'm on notice period at the time of payout?,You must be actively employed (not on notice period) at the time of payout to receive the reward.,"If you are on your notice period at the time of your Full and Final Settlement payout, several factors are considered:

-   *Incentives*: No incentives are paid to a separated employee in their Full and Final Settlement.
-   *Notice Period Recovery*: If you do not serve the defined notice period in full, the shortfall amount will be recovered from your Full and Final Settlement at the rate of your Basic salary. This recovery also applies if un-availed Annual Leave is not adjusted against a short notice period.
-   *Leave Encashment*: Un-availed paid leaves, up to a maximum of 45 days, may be encashed at the rate of your last drawn Basic salary, provided it is not a dismissal case.
-   *Settlement Release*: Your Final Settlement is processed subject to the completion of clearance processes related to HR, Admin, Finance, IT, and asset return."
Rewards & Recognition Policy - Tech.txt,16,What happens if there is misuse of the rewards and recognition process?,Any misuse will be met with strict disciplinary action.,Any misuse observed during the rewards and recognition process will be handled with *strict disciplinary action*.
Rewards & Recognition Policy - Tech.txt,17,Who is the final decision-maker regarding the awards?,The CXO Council's decision is final and cannot be contested.,"The final decision-makers for awards are the *HRBP* / *Function Spoc* who, in agreement with the *CXO*, approve the final rewardee list based on the allocated budget. Both the *CXO* and *HRBP* have the authority to approve or reject nominations."
Rewards & Recognition Policy - Tech.txt,18,Who should I contact if I have questions about this policy?,Contact your HRBP or the Rewards Team (contact details provided in the policy document).,"If you have questions or need guidance about this policy, you can contact:

- Your Line manager or Skip Manager
- HR Business Partner
- People Relations team"
Rewards & Recognition Policy - Tech.txt,19,How often will this policy be reviewed?,"The policy will be reviewed annually, on April 1st.","The available policies indicate that the *Next Review Date* for this policy is 1.1.2026, but don't include complete details about how often it will be reviewed generally."
Rewards & Recognition Policy - Tech.txt,20,Can this policy be changed?,"Yes, this policy is subject to change at any time by Angel One. Any amendments will be communicated in writing.","Yes, this policy can be changed.

- The policy is subject to change at any given point in time by Angel One.
- Any amendments or additions to the policy will be communicated in writing and will become part of the policy.
- The decision of the company regarding changes shall be final and binding."
Rewards & Recognition Policy ( Growth ).txt,1,What is the main purpose of this Rewards and Recognition policy?,"The policy aims to foster a culture of recognition aligned with company values, link individual performance to organizational goals, enhance employee engagement and commitment, and strengthen the Employee Value Proposition (EVP).","The main purpose of the Rewards and Recognition policy is to:

- Create a *Culture of Recognition* by aligning employee behavior with the company's ideals.
- Link individual performance to business unit/organization goals by encouraging process efficiency improvements and innovation, which enhances employee engagement and commitment.
- Strengthen the *Employee Value Proposition* (EVP)."
Rewards & Recognition Policy ( Growth ).txt,2,Which departments are covered by this policy?,"The policy covers all full-time employees in the following departments: Digital Revenue, Revenue, Product, Administration, Human Resources & Learning, Legal & Compliance, Finance, Customer Experience, Risk & Surveillance, Operations, Research Fundamental, Research Technical, Enterprise IT, Information Security, and Sales Distribution.",The policies do not mention specific information about departments covered by any policy. I'm unable to provide details on this particular question.
Rewards & Recognition Policy ( Growth ).txt,3,Am I eligible for rewards and recognition under this policy?,"If you are a full-time employee in one of the departments listed above, you are eligible.","To determine your eligibility for rewards and recognition, please specify your department or role within the organization.

The policy states that all full-time employees of Angel One Ltd in the following departments are eligible:
- Digital Revenue
- Revenue
- Product
- Administration
- Human Resources & Learning
- Legal & Compliance
- Finance
- Customer Experience
- Risk & Surveillance
- Operations
- Research Fundamental
- Research Technical
- Enterprise IT
- Information Security
- Sales Distribution
- Application Development
- Quality Assurance
- Site Reliability Engineering"
Rewards & Recognition Policy ( Growth ).txt,4,How is the budget for rewards allocated?,"Each department receives a pre-approved budget for each award category, determined by the CXOs.","The budget for rewards is allocated to each department as a prescribed amount, which is pre-approved by CXOs for each award category. Departments are not permitted to deviate from this pre-assigned budget."
Rewards & Recognition Policy ( Growth ).txt,5,What attributes are rewarded under this policy?,"The policy rewards Individual Performance/Productivity, Values-driven behavior with business impact, Innovation and Business Excellence, Leadership, Teamwork and collaboration, and Service Duration/Tenure.","The policies state that the following attributes are rewarded under the Rewards and Recognition Policy:

- Individual Performance / Productivity
- Values driven behavior while driving business impact
- Innovation and Business excellence
- Leadership
- Teamwork and collaboration
- Service Duration / Tenure"
Rewards & Recognition Policy ( Growth ).txt,6,What are the different award categories and their frequency?,"The categories include Angel One's Extraordinaire (monthly), League of Pathpavers (quarterly), League of Future Makers (quarterly), Honorary Team of Angelites (quarterly), CMD Award (annual), CEO Award (annual), and Service Awards (based on tenure).","The different award categories and their frequencies are:

*Monthly Awards:*
- *Tech Titans*: Category: Individual
- *Angel One's Extraordinaire*: Category: Individual

*Quarterly Awards:*
- *League of Pathpavers*: Category: Individual
- *League of Future Makers*: Category: Individual
- *Honorary Team of Angelites*: Category: Team

*Annual Awards:*
- *CMD Award*: Category: Individual
- *CEO Award*: Category: Individual

*Service Awards:*
These awards are based on an employee's tenure and include:
- First Angelversary Celebration (1 year)
- Second Angelversary Celebration (2 years)
- Silver Angelversary Honour (3 years)
- Golden Angelversary Honour (5 years)
- Platinum Angelversary Honour (10 years)
The policies do not explicitly state a category (Individual/Team) for Service Awards."
Rewards & Recognition Policy ( Growth ).txt,7,How are the awards given and what do they entail?,"Awards include Growth Rockstars, Growth Trailblazers, and Growth Warriors (experience points redeemable for goods/services), Annual Awards (ASM Award Ceremony invitation), and Service Awards (virtual/physical recognition).  1 point equals 1 Rupee.","Awards are given through a specific nomination and approval process. An employee can nominate an individual or team within their department by sending an *offline request* to their HRBP. The HRBP then nominates them on *Angelverse*, and the nomination is subject to approval or rejection by the CXO and HRBP, staying within the department's pre-assigned budget. Monthly and Quarterly awards are rolled out and winners announced by the end of each respective period.

The awards entail various forms of recognition and rewards:
- Awards like the *League of Pathpavers*, *League of Future Makers*, and *Annual Awards* include an invitation to the *ASM Award Ceremony*.
- The *Honorary Team of Angelites* and *Service Awards* entail *Virtual/Physical Recognition*.
- Nominated employees also earn ""Experience points"" in their *angelverse account*, with 1 point equaling 1 Rs. These points can be used to purchase *experience coupons* or redeemed for *goods and services* on e-commerce sites or in Angelverse. Points are valid until the employee's last day at Angel and can be used in parts, but *cannot be encashed or transferred*."
Rewards & Recognition Policy ( Growth ).txt,8,How do I nominate someone for an award?,"To nominate an individual or team, send an offline request to your HRBP. The HRBP will then nominate them on Angelverse, following the approval flow outlined in the policy.","To nominate someone for an award, an employee should send an *offline request* to their *HRBP*.

Following this, the *HRBP* will nominate the employee on *Angelverse*. The nomination will then go through an approval process where the *CXO* and *HRBP* can approve or reject it. There is also a *2nd Level Approval* by a reviewer one level below *CXO*, who can review and add nominations to *Angelverse*. The *HRBP* or *Function Spoc*, in agreement with the *CXO*, will give *Final Approval* based on the allocated budget."
Rewards & Recognition Policy ( Growth ).txt,9,What is the approval process for award nominations?,"Nominations go through three levels: 1st Level (2 levels down to CXOs), 2nd Level (1 level down to CXO), and Final Approval (HRBP/Function SPOC in agreement with CXO), considering the departmental budget.","The approval process for award nominations involves several levels:

- *1st Level Nomination*: Provided by individuals 2 levels down from CXOs on Angelverse after nominations are gathered from respective functions.
- *2nd Level Approval*: A reviewer/nominator, 1 level down from the CXO, reviews the list of nominations, may add new ones, and processes them further into Angelverse.
- *Final Approval*: The HRBP or Function Spoc, in agreement with the CXO, approves the final rewardee list based on the allocated budget.

Overall, CXOs and HRBPs have the authority to approve or reject nominations, and the budget for approved nominations is drawn from the pre-assigned departmental budget."
Rewards & Recognition Policy ( Growth ).txt,10,What are the timelines for monthly and quarterly award nominations?,"The nomination process for monthly and quarterly awards is rolled out at the end of each month/quarter, with winners announced accordingly.",The nomination process for Monthly and Quarterly awards will be rolled out by the end of each month or quarter. Winners will be announced accordingly after the process is completed.
Rewards & Recognition Policy ( Growth ).txt,11,Can my department exceed its pre-assigned budget?,"No, each department must stay within its pre-assigned budget.",The policies do not mention specific information about whether a department can exceed its pre-assigned budget. I'm unable to provide details on this particular question.
Rewards & Recognition Policy ( Growth ).txt,12,What happens to my reward points if I leave Angel One?,Your reward points are valid until your last day of employment at Angel One.,Your reward points will be valid until your last day in Angel.
Rewards & Recognition Policy ( Growth ).txt,13,Can I cash out or transfer my reward points?,"No, reward points cannot be encashed or transferred.","No, your reward points cannot be encashed or transferred."
Rewards & Recognition Policy ( Growth ).txt,14,Are there any tax implications for the rewards I receive?,"Yes, gift vouchers or reward points exceeding Rs. 5000 in total value are taxable under the I.T. Act, 1961.","Yes, there are tax implications for the rewards you receive:

-   *Gift Vouchers* or *Reward points* (equivalent to rupees) are taxable under I.T. Act, 1961 Clause (iv) of sub-rule (7), if their total value exceeds Rs. 5000.
-   The value of *shares* received as gain by an employee will be added as part of your salary and taxed at applicable rates. This *perquisite tax* is mandatory under the Income Tax Act.
-   The value of the perquisite for *shares* is calculated as the *fair market value* (FMV) of shares on the day you exercise your option minus the amount paid for stocks to the company.
-   You need to pay the *perquisite tax* for *shares* by the 6th till 8 pm of the next month from the month of your exercise."
Rewards & Recognition Policy ( Growth ).txt,15,What happens if I'm nominated for an award but am on notice period at the time of payout?,You will not receive the award if you are on notice period at the time of payout.,"If you are nominated for an award but are on a notice period at the time of payout, the policies state that the nominated employee should be *active*, meaning not on a notice period, to receive the payout."
Rewards & Recognition Policy ( Growth ).txt,16,What happens if there is misuse of this rewards policy?,Any misuse will be handled with strict disciplinary action.,Any misuse observed during the rewards process will be handled with *strict disciplinary action*.
Rewards & Recognition Policy ( Growth ).txt,17,Can the CXO Council's decision regarding awards be contested?,"No, the CXO Council's decision is final and cannot be contested or reviewed.","No, the CXO Council's decision regarding awards is final and cannot be contested or reviewed under any circumstances."
Rewards & Recognition Policy ( Growth ).txt,18,Who should I contact if I have questions about this policy?,Contact your HRBP or the Rewards Team using the contact information provided in the policy document.,"If you have questions or need guidance about this policy, you can contact:

- Your *Line manager* or *Skip Manager*
- *HR Business Partner*
- *People Relations team*"
Rewards & Recognition Policy ( Growth ).txt,19,How often will this policy be reviewed?,"This policy will be reviewed annually, on April 1st.","There are multiple *Policy Management* policies with Document ID 2.0, each having a different next review date.

To provide you with the correct review frequency, could you please specify which policy you are referring to? For example, by mentioning its *Policy Owner* or the date it became effective."
Rewards & Recognition Policy ( Growth ).txt,20,What happens if there's an exception to the policy?,Any exception to the enforcement of this policy needs approval from the Rewards Team.,Any exception to the enforcement of a policy needs to be approved by the *People Relations Lead*.
Rewards & Recognition Policy.txt,1,What is the purpose of this Rewards & Recognition Policy?,"The policy aims to foster a culture of recognition aligned with company ideals, link individual performance to organizational goals, enhance employee engagement and commitment, and strengthen the Employee Value Proposition (EVP).","The purpose of the Rewards & Recognition Policy is to:

- Create a *Culture of Recognition* by aligning employee behavior with company ideals.
- Link individual performance to business unit/organization goals by encouraging process efficiency improvements and innovation, which enhances employee engagement and commitment.
- Strengthen *Employee Value Proposition* (EVP)."
Rewards & Recognition Policy.txt,2,Which departments are covered by this policy?,"The policy covers all full-time employees in the following departments: Digital Revenue, Revenue, Product, Administration, Human Resources & Learning, Legal & Compliance, Finance, Customer Experience, Risk & Surveillance, Operations, Research Fundamental, Research Technical, Enterprise IT, Information Security, and Sales Distribution.",The policies do not mention specific information about which departments are covered by this policy. I'm unable to provide details on this particular question.
Rewards & Recognition Policy.txt,3,Is there a budget for this rewards program?,"Yes, each department has a pre-approved budget for each award category, determined by the CXOs.","Yes, there is a budget for the rewards program. Each department is allocated a prescribed budget that is pre-approved by the CXOs for each award category. Departments are not permitted to deviate from this pre-assigned budget."
Rewards & Recognition Policy.txt,4,What attributes are rewarded under this policy?,"The policy rewards individual performance/productivity, values-driven behavior with business impact, innovation and business excellence, leadership, teamwork and collaboration, and service duration/tenure.","The following attributes are rewarded under this policy:

- Individual Performance / Productivity
- Values driven behavior while driving business impact
- Innovation and Business excellence
- Leadership
- Teamwork and collaboration
- Service Duration / Tenure"
Rewards & Recognition Policy.txt,5,What are the different award categories and their frequency?,"The awards include: Angel One's Extraordinaire (monthly), League of Pathpavers (quarterly), League of Future Makers (quarterly), Honorary Team of Angelites (quarterly), CMD Award (annual), CEO Award (annual), and Service Awards (based on tenure).","The different award categories and their frequencies are as follows:

- *Monthly Awards*
    - *Individual*:
        - Angel One's Extraordinaire
        - Tech Titans
- *Quarterly Awards*
    - *Individual*:
        - League of Pathpavers
        - League of Future Makers
    - *Team*:
        - Honorary Team of Angelites
- *Annual Awards*
    - *Individual*:
        - CMD Award
        - CEO Award
- *Service Awards*
    - These awards are given annually based on an employee's tenure:
        - First Angelversary Celebration (1 year)
        - Second Angelversary Celebration (2 years)
        - Silver Angelversary Honour (3 years)
        - Golden Angelversary Honour (5 years)
        - Platinum Angelversary Honour (10 years)"
Rewards & Recognition Policy.txt,6,What are the rewards for each award category?,Rewards vary.  'Angel One's Extraordinaire' offers experience points redeemable for goods and services. 'League of Pathpavers'/'League of Future Makers' offer invitations to the ASM Award Ceremony. 'Honorary Team of Angelites' receives virtual/physical recognition. Annual awards' rewards are not specified in the document.,"The rewards for specific award categories are as follows:

- *League of Pathpavers*: Invitation to the ASM Award Ceremony
- *League of Future Makers*: Invitation to the ASM Award Ceremony
- *Honorary Team of Angelites*: Virtual/Physical Recognition
- *Service Awards* (which include Anniversary awards like First Angelversary Celebration, Second Angelversary Celebration, etc.): Virtual/Physical Recognition

The policies do not mention specific rewards for *Annual Awards*, *Tech Titans*, *CMD Award*, *CEO Award*, or *Angel One's Extraordinaire*.

However, employees nominated for any award category will earn ""Experience points"" in their angelverse account, where 1 point equals 1 Rs. These points can be used to purchase various experience coupons or redeemed for goods and services on e-commerce sites or in Angelverse."
Rewards & Recognition Policy.txt,7,How do I nominate someone for an award?,"To nominate an individual or team within your department, submit an offline request to your HRBP. The HRBP will then nominate the employee/team on Angelverse, following the approval process outlined in the policy.","To nominate someone for an award, an employee should send an *offline request* to their HRBP (Human Resources Business Partner).

The HRBP will then nominate the employee on *Angelverse*, and the nomination will go through an approval process. CXO and HRBP can approve or reject the nomination. The budget for approved nominations will be considered under the pre-assigned departmental budget."
Rewards & Recognition Policy.txt,8,What is the approval process for nominations?,"Nominations go through three levels: 1st-level nomination by employees to CXOs on Angelverse; 2nd-level review and potential additions by a manager; and final approval by the HRBP/functional SPOC and CXO, considering the departmental budget.","The approval process for nominations involves three main levels:

- *1st Level Nomination*: Provided by individuals 2 levels down to CXO's on Angelverse, after gathering nominations from respective functions.
- *2nd Level Approval*: Handled by individuals 1 level down to CXO, who review the nominations, can add to the list, and process them further into Angelverse.
- *Final Approval*: Given by HRBP / Function Spoc, in agreement with the CXO, based on the allocated departmental budget.

Both CXO and HRBP have the authority to approve or reject nominations. The budget for approved nominations is drawn from the pre-assigned departmental budget."
Rewards & Recognition Policy.txt,9,What are the timelines for monthly and quarterly award nominations?,"Nominations for monthly and quarterly awards are rolled out at the end of each month and quarter, respectively, with winners announced accordingly.",The nomination process for Monthly and Quarterly awards will be rolled out by the end of each month or quarter. Winners will be announced accordingly after the nominations.
Rewards & Recognition Policy.txt,10,Can departments exceed their pre-assigned budget?,"No, departments cannot exceed their pre-assigned budget.",The policies do not mention specific information about departments exceeding their pre-assigned budget. I'm unable to provide details on this particular question.
Rewards & Recognition Policy.txt,11,What happens to the experience points if I leave Angel One?,Experience points are valid until your last day of employment at Angel One.,The policies do not mention specific information about experience points and their status upon leaving Angel One. I'm unable to provide details on this particular question.
Rewards & Recognition Policy.txt,12,Can I cash out or transfer my experience points?,"No, experience points cannot be cashed out or transferred.","No, your *Experience points* cannot be encashed or transferred."
Rewards & Recognition Policy.txt,13,How can I earn experience points?,Experience points are earned only by qualifying for a reward linked to experience points.,"You can earn *experience points* by qualifying for a reward that is linked to these points.

Some of the awards that offer *experience points* include:
- *Growth Warriors*
- *Spot Award*
- *Growth Trailblazers*
- *Growth Rockstars*
- *Tech Titan*
- *Angel One's Extraordinaire*
- *League of Extraordinary Angelites*
- *Service Awards*

The actual number of points granted for these awards is determined by HR and management during the fiscal year."
Rewards & Recognition Policy.txt,14,What if I'm on notice period at the time of payout?,You must be actively employed (not on notice period) at the time of payout to receive the award.,"The policies indicate that your Full and Final Settlement will be processed after the completion of all clearance processes related to HR, Admin, Finance, and IT, and upon receipt of asset clearance. This typically occurs after you have served your full notice period.

Regarding *Incentives*, any earned incentives will not be released once an employee resigns from the service of the company. No incentives are paid to a separated employee in their Full and Final Settlement."
Rewards & Recognition Policy.txt,15,What are the penalties for misuse of this policy?,Strict disciplinary action will be taken for any misuse observed during the process.,"Non-compliance with policies or violations may lead to disciplinary action, up to and including termination of employment or contractual relationship. Additionally, legal action, including arrest and prosecution for any criminal acts, may be pursued where appropriate."
Rewards & Recognition Policy.txt,16,Can I contest the CXO Council's decision?,"No, the CXO Council's decision is final and cannot be contested or reviewed.","The policies outline an appeal procedure for decisions made regarding grievances, where the Appellate Authority's decision is final and binding internally.

To provide a precise answer, could you clarify if the CXO Council's decision is considered an initial grievance decision or the final decision from an internal appeal?"
Rewards & Recognition Policy.txt,17,Are the rewards taxable?,"Yes, gift vouchers or reward points exceeding Rs. 5000 in value are taxable under the I.T. Act, 1961, Clause (iv) of sub-rule (7).","Yes, rewards are taxable if their total value exceeds Rs. 5000.

Specifically, any Gift Vouchers or Reward points (equivalent to the value of rupees) received by an employee are taxable under I.T. Act, 1961 Clause (iv) of sub-rule (7), provided their total value surpasses Rs. 5000."
Rewards & Recognition Policy.txt,18,Who should I contact if I have questions about this policy?,Contact your HRBP or the Rewards Team (contact details provided in the policy document).,"If you have questions or need guidance about this policy, you can contact:

- Your Line manager or Skip Manager
- HR Business Partner
- People Relations team"
Rewards & Recognition Policy.txt,19,Who is responsible for interpreting this policy?,The functional policy owners are responsible for interpreting the policy provisions.,The policies do not mention specific information about who is responsible for interpreting policies. I'm unable to provide details on this particular question.
Rewards & Recognition Policy.txt,20,How can exceptions to this policy be approved?,Exceptions require approval from the Rewards Team.,"The policies contain conflicting information regarding who approves exceptions. To provide an accurate answer, please clarify which specific policy you are referring to."
Separation Policy.txt,1,What is the purpose of this Separation Policy?,This policy details the various types of employee exits from Angel and outlines the related processes for each.,The purpose of the Separation Policy is to detail types of exits and related processes.
Separation Policy.txt,2,Who does this policy apply to?,This policy applies to all permanent employees of Angel.,The policies do not mention specific information about who this policy applies to. I'm unable to provide details on this particular question.
Separation Policy.txt,3,What are the different types of employee exits covered in this policy?,"The policy covers voluntary exit (resignation), involuntary exit (dismissal), retirement, expiry of fixed-term contracts, medical unfitness, and death.","The policies cover several types of employee exits and events leading to separation:

- *Voluntary Exit*: This occurs when an employee chooses to resign from the company's service on their own accord.
- Retirement
- Removal or dismissal by the company
- Expiry of a fixed contract period
- Being found medically unfit to continue working in their present responsibility
- Demise of the employee"
Separation Policy.txt,4,What is the procedure for resigning from Angel?,Employees must provide their immediate superior and HR with any concerns before resigning.  They are required to serve the full notice period as per company policy (department-specific; see table in policy).  No leave is permitted during the notice period.  A relieving letter and final settlement will be processed within 45 days of the last working day.,"To resign from Angel, an employee who voluntarily chooses to separate may first voice any concerns or dissatisfaction to their immediate superior and HR.

The procedure for a *Voluntary Exit* involves the employee initiating the resignation and serving the *Full Notice Period* as per company policy. After the notice period is served, the company will arrange for a *relieving letter* and the *Final settlement* amount within 45 days from the employee's last day of working."
Separation Policy.txt,5,What is the notice period for voluntary separation?,"The notice period varies by department. Most departments require 90 days, while Sales (Equity, WMS & Cross-Sales) and Revenue have role-specific notice periods detailed in a separate document.","For voluntary separation, the notice period for employees in most departments is *90 Days*. This applies to departments such as:

- Administration
- Digital Revenue
- Finance
- Human Resources & Learning
- Legal and Compliance
- Management
- Marketing
- Operations
- Product Development
- Research
- Risk and Surveillance
- Technology

However, for employees in the *Sales (Equity, WMS & Cross-Sales)* and *Revenue* departments, the notice period is *role specific*. The available policies indicate that details for these roles are found in a separate document, which is not included in the current policies."
Separation Policy.txt,6,What happens if I cannot serve my full notice period?,Any shortfall in the notice period will be deducted from your final settlement.  Waivers may be granted based on your immediate supervisor's recommendation.,"If you are unable to serve your full notice period, the shortfall will be recovered from your full and final settlement. This recovery will be calculated at the rate of your *Basic* salary.

It is important to note that any balance of Annual Leave at the time of your exit will not be adjusted against the short notice period; the amount for the short notice will still be recovered."
Separation Policy.txt,7,What is the policy regarding leave encashment upon resignation?,Confirmed employees can encash up to 45 days of un-availed paid leave at the rate of their last drawn basic salary.  This does not apply in cases of dismissal.  Leave will not be adjusted against a short notice period.,"Upon resignation, confirmed employees are eligible for Leave Encashment of un-availed Privilege Leave or Annual Leave.

Key points regarding the policy:
- *Eligibility*: Only confirmed employees (after probation) can encash leaves.
- *Maximum Days*: A maximum of 45 days of un-availed leaves can be encashed.
- *Calculation*: Encashment is computed on *Basic Pay* as per IT Act and calculated on a pro rata basis.
- *Recovery*: If excess leaves were used, the amount will be recovered."
Separation Policy.txt,8,What is the company's policy on involuntary termination?,"The company reserves the right to terminate employment without notice for misconduct (as defined in the Code of Conduct & Ethics), performance issues, inadequate behavior, integrity breaches, or other reasons deemed unsuitable for continued employment. Termination can also occur if fraudulent information was provided during the hiring process.","The company's policy on involuntary termination, also referred to as dismissal or involuntary exit, states that an employee's services may be terminated without notice under certain circumstances.

Reasons for involuntary termination include:
- *Performance Related Issues* (as covered under PEP)
- Inadequate Behaviour, Integrity, or Mis-Conduct issues
- Any other reason the company deems the employee unsuitable for continued employment
- Establishing fraudulent or tampered documents supplied by the employee at any point
- Unauthorized absence
- Being found guilty of any misconduct

In cases of dismissal:
- Any unserved notice period will be recovered from the *full and final settlement*.
- Pending benefits, such as performance bonuses or gratuity, may be withheld or forfeited.
- Employees terminated due to absconding are not eligible for an *experience letter*.
- In extreme cases, the company reserves the right to take legal action, especially if company property, confidential data, or unpaid loans are involved."
Separation Policy.txt,9,What is the retirement age at Angel?,"The standard retirement age is 58. The age on the employee's birth certificate or school leaving certificate submitted during the hiring process is definitive. Retirement occurs at the end of the birth month; if the birth date is the first of the month, retirement is the last day of the previous month.  Premature retirement may be implemented due to health reasons.","The available policies indicate that retirement is one of the events leading to separation from the company, but they don't include complete details about the specific retirement age."
Separation Policy.txt,10,What are the clearance processes I need to complete before my final settlement?,"You must complete clearance with HR, Admin, Finance, and IT.  Any damage to company assets must be addressed, and company property (laptops, desktops, etc.) must be returned to the IT team.","Before your final settlement, you need to complete several clearance processes. These include:

- Surrendering all business-related documents and confidential company data.
- Obtaining a *No Dues certificate* signed by your immediate manager, Human Resource function, Accounts, IT, and Operations.
- Surrendering your Desktop / Laptop / Tablet to the IT Team. Your final settlement will only be released after the asset clearance team confirms receipt.

The Final Settlement and relieving letter are processed subject to the completion of these clearance processes related to HR, Admin, Finance, and IT."
Separation Policy.txt,11,"What is a 'No Dues certificate', and how do I obtain one?","A No Dues certificate confirms that you have returned all company property and documents.  You must obtain signatures from your immediate manager, HR, Accounts, IT, and Operations.","A *No Dues certificate* confirms that an employee has surrendered all business-related documents and confidential company data upon termination of employment.

To obtain one, you must get it signed by your immediate manager, Human Resource function, Accounts, IT, and Operations departments. The *Full & Final Settlement* is processed once this certificate, along with a *No Objection Certificate* (NOC) or *No Dues certificate* from the car leasing company (if applicable), is received."
Separation Policy.txt,12,What is the purpose of the exit interview?,The exit interview helps understand the reasons for your departure.,The purpose of the exit interview is to understand the reason for an employee's exit from the company.
